CL:0000000	cell
FF:0200024	embryonic day 8.5
FF:0200026	mesoderm, embryonic day 8.5
FF:0200027	(pre) hematopoietic stem cell,aorta-gonad-mesonephros (AGM) region derived
FF:0200028	hematopoietic stem cell, placenta derived
FF:0200029	hematopoietic stem cell, bone marrow derived
FF:0200030	neurons - spiral ganglion
FF:0200031	ES-OS25 embryonic stem cells
FF:0200032	ES-OS25 embryonic stem cells, aminitin treatment
FF:0200033	ES-OS25 embryonic stem cells, untreated
FF:0200034	ES-OS25 embryonic stem cells, tamoxifen treated
FF:0200035	ES-46C embryonic stem cells, neuronal differentiation
FF:0200036	ES-OS25 embryonic stem cells, untreated siRNA control
FF:0200037	ES-OS25 embryonic stem cells, scrambled siRNA control
FF:0200038	ES-OS25 embryonic stem cells, KD for exosomal component EXOSC3, biol_rep1
FF:0200040	ES-46C derived epistem cells
FF:0300028	28 hr
IAO:0000030	information entity
NCBITaxon:10088	Mus
NCBITaxon:10090	Mus musculus
NCBITaxon:2759	Eukaryota
OBI:0000272	protocol
OBI:0100026	organism
UBERON:0000002	uterine cervix
UBERON:0000007	pituitary gland
UBERON:0000013	sympathetic nervous system
UBERON:0000014	zone of skin
UBERON:0000019	camera-type eye
UBERON:0000020	sense organ
UBERON:0000025	tube
UBERON:0000026	appendage
UBERON:0000029	lymph node
UBERON:0000033	head
UBERON:0000043	tendon
UBERON:0000047	simple eye
UBERON:0000055	vessel
UBERON:0000056	ureter
UBERON:0000057	urethra
UBERON:0000058	duct
UBERON:0000061	anatomical structure
UBERON:0000062	organ
UBERON:0000063	organ segment
UBERON:0000064	organ part
UBERON:0000073	regional part of nervous system
UBERON:0000077	mixed endoderm/mesoderm-derived structure
UBERON:0000078	mixed ectoderm/mesoderm/endoderm-derived structure
UBERON:0000080	mesonephros
UBERON:0000094	membrane organ
UBERON:0000101	lobe of lung
UBERON:0000115	lung epithelium
UBERON:0000119	cell layer
UBERON:0000122	neuron projection bundle
UBERON:0000125	neural nucleus
UBERON:0000158	membranous layer
UBERON:0000160	intestine
UBERON:0000171	respiration organ
UBERON:0000178	blood
UBERON:0000179	haemolymphatic fluid
UBERON:0000200	gyrus
UBERON:0000211	ligament
UBERON:0000305	amnion
UBERON:0000310	breast
UBERON:0000331	ileal mucosa
UBERON:0000341	throat
UBERON:0000344	mucosa
UBERON:0000365	urothelium
UBERON:0000369	corpus striatum
UBERON:0000391	leptomeninx
UBERON:0000395	cochlear ganglion
UBERON:0000396	vallate papilla
UBERON:0000411	visual cortex
UBERON:0000463	portion of organism substance
UBERON:0000464	anatomical space
UBERON:0000465	material anatomical entity
UBERON:0000466	immaterial anatomical entity
UBERON:0000467	anatomical system
UBERON:0000468	multi-cellular organism
UBERON:0000470	cell part
UBERON:0000473	testis
UBERON:0000475	organism subdivision
UBERON:0000477	anatomical cluster
UBERON:0000478	extraembryonic structure
UBERON:0000479	tissue
UBERON:0000480	anatomical group
UBERON:0000481	multi-tissue structure
UBERON:0000483	epithelium
UBERON:0000485	simple columnar epithelium
UBERON:0000486	multilaminar epithelium
UBERON:0000487	simple squamous epithelium
UBERON:0000488	atypical epithelium
UBERON:0000489	cavitated compound organ
UBERON:0000490	unilaminar epithelium
UBERON:0000914	organismal segment
UBERON:0000922	embryo
UBERON:0000923	germ layer
UBERON:0000926	mesoderm
UBERON:0000941	cranial nerve II
UBERON:0000945	stomach
UBERON:0000946	cardial valve
UBERON:0000947	aorta
UBERON:0000948	heart
UBERON:0000955	brain
UBERON:0000956	cerebral cortex
UBERON:0000966	retina
UBERON:0000970	eye
UBERON:0000974	neck
UBERON:0000981	femur
UBERON:0000988	pons
UBERON:0000989	penis
UBERON:0000991	gonad
UBERON:0000992	female gonad
UBERON:0000993	oviduct
UBERON:0000995	uterus
UBERON:0000996	vagina
UBERON:0000997	mammalian vulva
UBERON:0000998	seminal vesicle
UBERON:0001000	vas deferens
UBERON:0001003	epidermis
UBERON:0001005	respiratory airway
UBERON:0001007	digestive system
UBERON:0001013	adipose tissue
UBERON:0001018	axon tract
UBERON:0001020	commissure
UBERON:0001021	nerve
UBERON:0001043	esophagus
UBERON:0001044	salivary gland
UBERON:0001052	rectum
UBERON:0001062	anatomical entity
UBERON:0001097	axillary lymph node
UBERON:0001132	parathyroid gland
UBERON:0001134	skeletal muscle tissue
UBERON:0001135	smooth muscle tissue
UBERON:0001136	mesothelium
UBERON:0001153	caecum
UBERON:0001154	appendix
UBERON:0001155	colon
UBERON:0001204	mucosa of small intestine
UBERON:0001235	adrenal cortex
UBERON:0001242	intestinal mucosa
UBERON:0001255	urinary bladder
UBERON:0001264	pancreas
UBERON:0001282	intralobular bile duct
UBERON:0001301	epididymis
UBERON:0001322	sciatic nerve
UBERON:0001343	seminiferous tubule of testis
UBERON:0001359	cerebrospinal fluid
UBERON:0001374	biceps femoris
UBERON:0001379	vastus lateralis
UBERON:0001383	muscle of leg
UBERON:0001389	soleus
UBERON:0001419	skin of limb
UBERON:0001474	bone
UBERON:0001513	skin of foot
UBERON:0001577	muscle of face
UBERON:0001630	muscle organ
UBERON:0001637	artery
UBERON:0001638	vein
UBERON:0001705	nail
UBERON:0001723	tongue
UBERON:0001726	papilla of tongue
UBERON:0001736	submandibular gland
UBERON:0001737	larynx
UBERON:0001744	lymphoid tissue
UBERON:0001764	maxillary sinus
UBERON:0001785	cranial nerve
UBERON:0001797	vitreous humor
UBERON:0001825	paranasal sinus
UBERON:0001829	major salivary gland
UBERON:0001831	parotid gland
UBERON:0001851	cortex
UBERON:0001870	frontal cortex
UBERON:0001871	temporal lobe
UBERON:0001872	parietal lobe
UBERON:0001873	caudate nucleus
UBERON:0001874	putamen
UBERON:0001876	amygdala
UBERON:0001882	nucleus accumbens
UBERON:0001894	diencephalon
UBERON:0001896	medulla oblongata
UBERON:0001897	thalamus
UBERON:0001905	pineal body
UBERON:0001911	mammary gland
UBERON:0001954	Ammon's horn
UBERON:0001961	mucosa-associated lymphoid tissue
UBERON:0001962	gut-associated lymphoid tissue
UBERON:0001981	blood vessel
UBERON:0001987	placenta
UBERON:0001997	olfactory epithelium
UBERON:0002003	peripheral nerve
UBERON:0002020	gray matter of neuraxis
UBERON:0002021	occipital lobe
UBERON:0002022	insula
UBERON:0002036	striated muscle tissue
UBERON:0002037	cerebellum
UBERON:0002038	substantia nigra
UBERON:0002046	thyroid gland
UBERON:0002048	lung
UBERON:0002050	embryonic structure
UBERON:0002073	hair follicle
UBERON:0002075	viscus
UBERON:0002079	left atrium
UBERON:0002081	cardiac atrium
UBERON:0002082	cardiac ventricle
UBERON:0002084	heart left ventricle
UBERON:0002097	skin of body
UBERON:0002100	trunk
UBERON:0002101	limb
UBERON:0002102	forelimb
UBERON:0002106	spleen
UBERON:0002107	liver
UBERON:0002108	small intestine
UBERON:0002110	gallbladder
UBERON:0002113	kidney
UBERON:0002116	ileum
UBERON:0002133	atrioventricular valve
UBERON:0002134	tricuspid valve
UBERON:0002135	mitral valve
UBERON:0002146	pulmonary valve
UBERON:0002148	locus ceruleus
UBERON:0002171	lower lobe of right lung
UBERON:0002199	integument
UBERON:0002240	spinal cord
UBERON:0002259	corpora quadrigemina
UBERON:0002284	hyponychium
UBERON:0002300	ventricle
UBERON:0002308	nucleus of brain
UBERON:0002331	umbilical cord
UBERON:0002336	corpus callosum
UBERON:0002346	neural ectoderm
UBERON:0002360	meninx
UBERON:0002361	pia mater
UBERON:0002362	arachnoid mater
UBERON:0002363	dura mater
UBERON:0002365	exocrine gland
UBERON:0002367	prostate gland
UBERON:0002368	endocrine gland
UBERON:0002369	adrenal gland
UBERON:0002370	thymus
UBERON:0002371	bone marrow
UBERON:0002372	tonsil
UBERON:0002376	muscle of head
UBERON:0002384	connective tissue
UBERON:0002385	muscle tissue
UBERON:0002394	bile duct
UBERON:0002410	autonomic nervous system
UBERON:0002418	cartilage tissue
UBERON:0002419	skin gland
UBERON:0002428	limb bone
UBERON:0002435	striatum
UBERON:0002448	fungiform papilla
UBERON:0002464	nerve trunk
UBERON:0002473	intercerebral commissure
UBERON:0002495	long bone
UBERON:0002529	limb segment
UBERON:0002530	gland
UBERON:0002553	anatomical cavity
UBERON:0002581	postcentral gyrus
UBERON:0002616	regional part of brain
UBERON:0002619	regional part of cerebral cortex
UBERON:0002680	regional part of metencephalon
UBERON:0002702	middle frontal gyrus
UBERON:0002757	regional part of epithalamus
UBERON:0002780	regional part of forebrain
UBERON:0002784	regional part of diencephalon
UBERON:0002791	regional part of telencephalon
UBERON:0002902	occipital pole
UBERON:0002950	regional part of midbrain
UBERON:0003102	surface structure
UBERON:0003103	compound organ
UBERON:0003104	mesenchyme
UBERON:0003112	olfactory region
UBERON:0003126	trachea
UBERON:0003127	open tracheal system trachea
UBERON:0003133	reproductive organ
UBERON:0003134	female reproductive organ
UBERON:0003135	male reproductive organ
UBERON:0003199	egg chamber
UBERON:0003293	gland of oral region
UBERON:0003294	gland of foregut
UBERON:0003296	gland of diencephalon
UBERON:0003297	gland of integumental system
UBERON:0003323	mesenchyme of upper jaw
UBERON:0003343	mucosa of oral region
UBERON:0003350	epithelium of mucosa
UBERON:0003408	gland of gut
UBERON:0003431	leg nerve
UBERON:0003440	limb nerve
UBERON:0003442	hindlimb nerve
UBERON:0003464	hindlimb bone
UBERON:0003509	arterial blood vessel
UBERON:0003528	brain grey matter
UBERON:0003532	hindlimb skin
UBERON:0003587	limb connective tissue
UBERON:0003589	hindlimb connective tissue
UBERON:0003606	limb long bone
UBERON:0003608	hindlimb long bone
UBERON:0003661	limb muscle
UBERON:0003663	hindlimb muscle
UBERON:0003688	omentum
UBERON:0003701	achilles tendon
UBERON:0003714	neural tissue
UBERON:0003729	mouth mucosa
UBERON:0003826	upper leg bone
UBERON:0003920	venous blood vessel
UBERON:0003928	digestive system duct
UBERON:0003937	sex gland
UBERON:0003968	peripheral lymph node
UBERON:0003975	internal female genitalia
UBERON:0003978	valve
UBERON:0004111	anatomical conduit
UBERON:0004119	endoderm-derived structure
UBERON:0004120	mesoderm-derived structure
UBERON:0004121	ectoderm-derived structure
UBERON:0004151	cardiac chamber
UBERON:0004175	internal reproductive organ
UBERON:0004177	hemopoietic organ
UBERON:0004185	endodermal gut
UBERON:0004252	hindlimb stylopod muscle
UBERON:0004256	hindlimb zeugopod muscle
UBERON:0004270	lower leg connective tissue
UBERON:0004277	eye muscle
UBERON:0004347	limb bud
UBERON:0004357	limb/fin bud
UBERON:0004375	bone of appendage
UBERON:0004573	systemic artery
UBERON:0004645	urinary bladder urothelium
UBERON:0004708	limb/fin
UBERON:0004710	limb/fin of anterior region of body
UBERON:0004732	segmental subdivision of nervous system
UBERON:0004755	skeletal tissue
UBERON:0004765	skeletal element
UBERON:0004785	respiratory system mucosa
UBERON:0004786	gastrointestinal system mucosa
UBERON:0004802	respiratory tract epithelium
UBERON:0004807	respiratory system epithelium
UBERON:0004814	upper respiratory tract epithelium
UBERON:0004821	pulmonary alveolus epithelium
UBERON:0004882	eponychium
UBERON:0004903	bronchoalveolar duct junction
UBERON:0004904	optic nerve
UBERON:0004909	epithelium of gonad
UBERON:0004911	epithelium of female gonad
UBERON:0004913	hepatopancreatic ampulla
UBERON:0004921	subdivision of digestive tract
UBERON:0004923	organ component layer
UBERON:0005057	immune organ
UBERON:0005058	hemolymphoid system gland
UBERON:0005090	muscle structure
UBERON:0005156	reproductive structure
UBERON:0005162	multi-cell-component structure
UBERON:0005172	abdomen organ
UBERON:0005173	abdominal segment organ
UBERON:0005174	back organ
UBERON:0005177	trunk organ
UBERON:0005178	thoracic cavity organ
UBERON:0005179	pelvis organ
UBERON:0005181	thoracic segment organ
UBERON:0005208	right atrium valve
UBERON:0005291	embryonic tissue
UBERON:0005340	dorsal telencephalic commissure
UBERON:0005384	nasal cavity epithelium
UBERON:0005388	photoreceptor array
UBERON:0005399	male reproductive gland
UBERON:0005418	hindlimb bud
UBERON:0005420	hindlimb/pelvic fin bud
UBERON:0005423	developing anatomical structure
UBERON:0005631	extraembryonic membrane
UBERON:0005705	primary palate mesenchyme
UBERON:0005795	embryonic uterus
UBERON:0005889	zygote cortex
UBERON:0005904	duct of male reproductive system
UBERON:0005910	transitional epithelium
UBERON:0005911	endo-epithelium
UBERON:0005970	brain commissure
UBERON:0006122	retrorubral area
UBERON:0006312	ocular refractive media
UBERON:0006322	inferior rectus extraocular muscle
UBERON:0006331	brainstem nucleus
UBERON:0006518	right lung lobe
UBERON:0006554	urinary system structure
UBERON:0006555	excretory tube
UBERON:0006562	pharynx
UBERON:0006659	cruciate ligament
UBERON:0006834	uterus or analog
UBERON:0006858	adrenal/interrenal gland
UBERON:0006868	seminal fluid secreting gland
UBERON:0006914	squamous epithelium
UBERON:0006925	digestive gland
UBERON:0006934	sensory epithelium
UBERON:0007023	adult organism
UBERON:0007029	surface
UBERON:0007100	circulatory organ
UBERON:0007194	vesicular gland
UBERON:0007195	stroma of bone marrow
UBERON:0007329	pancreatic duct
UBERON:0007376	outer epithelial layer
UBERON:0008198	nail plate
UBERON:0008837	palmar/plantar part of autopod
UBERON:0008878	palmar part of hand
UBERON:0009564	distal limb integumentary appendage
UBERON:0009661	midbrain nucleus
UBERON:0009662	hindbrain nucleus
UBERON:0009663	telencephalic nucleus
UBERON:0009854	digestive tract diverticulum
UBERON:0009856	sac
UBERON:0009872	paired appendage
UBERON:0009899	pole of cerebral hemisphere
UBERON:0010039	food storage organ
UBERON:0010047	oral gland
UBERON:0010133	neuroendocrine gland
UBERON:0010147	male accessory sex gland
UO:0000000	unit
UO:0000031	minute
UO:0000032	hour
UO:0000033	day
UO:0000046	derived unit
UO:0000149	derived time unit
snap:Disposition	disposition
snap:MaterialEntity	material entity
snap:Role	role
snap:SpecificallyDependentContinuant	material property
span:ProcessualEntity	process
